id,book,page,certainty,category,description,rooms,features,notes
crydee_102,Magician,117,canon,architecture,"others are walled hill forts, with a hundred, two hundred warriors to man the palisade. They've swept away a dozen such in little over a month. How many men do you judge you'd need to accomplish such a deed, Lord Borric?"" For the first time in his memory, Pug saw fear clearly etched upon the Duke's face. Borric leaned forward, his arm resting across his knee, as he said, ""I've fifteen hundred men in Crydee, counting those in the frontier garrisons along the boundary. I can call another eight ...",,wall,Extracted from page 117
crydee_103,Magician,118,canon,architecture,"throughout these mountains, ancient tunnels under the Grey Towers. Many were carved by my people as we dug for iron and gold. Some are natural, fashioned when the mountains were born. And still others were here when my people first came to these mountains, dug by only the gods know whom. There is one mine that passes completely under the mountains, coming out on the other side of the range, only a day's march from the road to Bordon. It will take two days to pass through, and there may be dan...",Tower,,Extracted from page 118
crydee_104,Magician,119,canon,architecture,"DoLcAN LED the Duke's party along the rocky foothills of the Grey Towers. They had left at first light, the dwarven chieftain's sons departing for their own destinations with their men. Dolgan walked before the Duke and his son, followed by the puffing Kulgan and the boys. Five soldiers of Crydee, those still able to continue, under the supervision of Sergeant Gardan followed behind, leading two mules. Walking behind the struggling magician, Pug said, ""Kulgan, ask for a rest. You're all done ...",Tower,,Extracted from page 119
crydee_105,Magician,120,canon,architecture,"said, ""Keep alert, for only the gods know what is living in these tunnels. We should not be troubled, but it is best to be cautious."" Pug entered and, as the gloom enveloped him, looked over his shoulder. He saw Gardan outlined against the receding light. For a brief instant he thought of Carline, and Roland, then wondered how she could seem so far removed so quickly, or how indifferent he was to his rival's attentions. He shook his head, and his gaze returned to the dark tunnel ahead. ThE TU...",,wall,Extracted from page 120
crydee_106,Magician,121,canon,architecture,"He puffed at his pipe, and the balance of the guards came over to eat. Dolgan said, ""Well, we had best be on our way."" Tomas looked startled. ""I thought we were stopping for the night."" ""The sun is yet high in the sky, laddie. There's half the day left before we sleep."" ""But I thought . . ."" ""I know. It is easy to lose track of time down here, unless you have the knack of it."" They gathered together their gear and started off again. After more walking they entered a series of twisting, turnin...",Tower,wall,Extracted from page 121
crydee_107,Magician,122,unknown,architecture,"The boys were relieved of guard duty and ate. As soon as they were done eating, they spread their cloaks. Pug found the hard dirt floor uncomfortable, but he was very tired, and sleep soon overtook him. TheY LED the mules deeper into the mines, the animal's hooves clattering on the stone, the sound echoing down the dark tunnels. They had walked the entire day, taking only a short rest to eat at noon. Now they were approaching the cavern where Dolgan said they were to spend their second night....",,table,Extracted from page 122
crydee_108,Magician,123,canon,architecture,"Dolgan laughed, the rich, hearty sound echoing off the cavern walls. ""It is not that the place suits my nature, Lord Borric, but rather that my nature suits the place. I can travel easily under the mountains, and my folk have ever been miners. But as to choice, I would rather spend my time in the high pastures of Caldara tending my herd, or sit in the long hall with my brethren, drinking ale and singing ballads."" Pug asked, ""Do you spend much time singing ballads?"" Dolgan fixed him with a fri...",kitchen,wall,Extracted from page 123
crydee_109,Magician,124,canon,architecture,"Gardan pushed the boys forward, and the guards moved the mules to the center of the cavern. They quickly staked the two mules down and formed a circle around the frantic animals. Weapons were drawn. Gardan placed himself before the two boys, forcing them back near the mules. Both had swords out, but held them uncertainly. Tomas could feel his heart pound, and Pug was bathed in cold sweat. The terror that gripped him had not increased since Dolgan had put a name to it, but it had not lessened ...",,,Extracted from page 124
crydee_110,Magician,125,canon,architecture,"soldier. He understands."" Pug was pulled along helplessly. He saw the wraith follow along for a moment, then stop and turn toward Tomas. Whether alerted by Pug's cries or by some evil sense, the undead creature started toward Tomas, slowly stalking him. The boy hesitated, then spun and ran to another tunnel. The wraith shrieked and started after him. Pug saw the glow of Tomas's torch disappear down the tunnel, then flicker into blackness. ToMAs sAw the pained expression on Pug's face as Garda...",,wall,Extracted from page 125
crydee_111,Magician,126,canon,architecture,"bodies of mules and guards lying in his path. He paused long enough to grab a fresh torch, for his was nearly spent, and transferred the flame. He looked backward to see the undead creature closing on him and started off again. Hope briefly flickered in his breast, for if he could pick the proper corridor, he might catch up to the others. Dolgan had said that from this cavern it was a straight journey to the surface. He picked what he thought was the proper one, though he was disoriented and ...",,wall,Extracted from page 126
crydee_112,Magician,127,canon,architecture,"landing and the cavern wall. Crossing to it, he pulled out several pieces and started a small fire. The wood was mostly timber pieces, used to shore up the tunnels, but mixed in were several branches and twigs. They must have been brought down by the falls from above, where the river enters the mountain, he thought. Underneath the pile he found some fibrous weeds growing. Wondering at the plants' ability to grow without sunlight, the boy was nevertheless thankful, for after cutting them with ...",,wall,Extracted from page 127
crydee_113,Magician,128,canon,architecture,"but felt good about keeping his head under these conditions and was sure Swordmaster Fannon would approve of his actions. After walking for a while, he came to an intersection. He found the bones of a creature in the dust, its fate unknowable. He spotted the tracks of some other small creature leading away, but they were faint with age. With no other notion than the need for a clear path, Tomas followed them. Soon they also vanished in the dust. He had no means to reckon time, but thought tha...",,wall,Extracted from page 128
crydee_114,Magician,129,implied,architecture,"guards awakened, Dolgan had left them to watch over the others and had snared a brace of rabbits. These were roasting over a fire. The others awoke, except Kulgan, who snored deeply. Arutha and the Duke saw the boy wake, and the Prince came to where he sat. The younger son of the Duke, ignoring the snow, sat on the ground next to Pug, who had his cloak wrapped around him. ""How do you feel, Pug?"" Arutha asked, concern showing in his eyes. This was the first time Pug had seen Arutha's gentler n...",,,Extracted from page 129
crydee_115,Magician,131,canon,architecture,"""It is we who are in your debt, Dolgan. If you come to Crydee, we will have that meal you were promised. That, and more. May good fortune go with you."" ""Thank you, Your Lordship. I'll look forward to it."" Without another word, Dolgan walked into the blackness of Mac Mordain Cadal. DoLcAN stoPPED by the dead mules, pausing only long enough to pick up food, water, and a lantern. The dwarf needed no light to make his way underground-his people had long ago adapted other senses for the darkness. ...",,"bed, wall",Extracted from page 131
crydee_116,Magician,132,canon,architecture,"The dragon's voice rumbled through the great hall, echoing like thunder through a valley. ""Welcome, dwarf. Thy friend hath told me that thou wouldst not forsake him."" Tomas stood before the dwarf, asking a dozen questions, while Dolgan's senses reeled. Behind the boy, the Prince of all dragons sat quietly observing the exchange, and the dwarf was having trouble maintaining the equanimity that was normally his. Making little sense of Tomas's questions, Dolgan gently pushed him to one side to b...",great hall,,Extracted from page 132
crydee_117,Magician,133,canon,architecture,"the living rock of the mountain. On all its walls could be seen large tapestries and banners, faded and torn; something about their look set Dolgan's teeth on edge, for they were as alien as they were ancient-no creature he knew of, human, elf, or goblin fashioned those pennants. More of the giant crystal chandeliers hung from timbers across the ceiling. At the far end of the hall, a throne could be seen on a dais, and long tables with chairs for many diners stood before it. Upon the tables w...",,"table, wall, chair",Extracted from page 133
crydee_118,Magician,135,canon,architecture,"""Thy thanks are welcome, Dolgan of the Grey Towers. I am glad of thy coming also. It is only a little longer that I could shelter the boy, for I summoned Tomas to my side by magic arts, so he might sit my deathwatch."" ""What?"" exclaimed Tomas. ""It is given to dragons to know the hour of their death, Tomas, and mine is close. I am old, even by the measure of my people, and have led a full life. I am content for it to be so. It is our way."" Dolgan looked troubled. ""Still, I find it strange to si...",Tower,bed,Extracted from page 135
crydee_119,Magician,136,canon,architecture,"victor, not the vanquished."" He paused and swallowed, and Tomas could see that speech was coming to him with more difficulty. ""If a dragon could not have attended my deathwatch, I would as soon have him sit here, for he was the first of thy kind, boy, that I would count a friend."" ""Who was he, Rhuagh?"" Tomas asked. ""He was called Macros "" Dolgan looked thoughtful. ""I've heard his name, a magician of most puissant arts. He is nearly a myth, having lived somewhere to the east."" ""A myth he is no...",,wall,Extracted from page 136
crydee_120,Magician,137,canon,architecture,"faint humming could be heard, as if the walls of the hall reverberated with fey music. The sound increased as the light grew brighter and began to pulse with energy. Tomas and Dolgan watched as the discolored patches faded from Rhuagh's scales. His hide shone with golden sparkle, and the film started to lift from his eyes. He slowly raised his head, and they knew he could again see the hall around him. His crest stood erect, and his wings lifted, showing the rich silver sheen underneath. The ...",,wall,Extracted from page 137
crydee_121,Magician,138,unknown,architecture,"than what he had worn at Crydee. The boy said, ""I don't feel like taking anything else, Dolgan. I suppose that sounds strange."" Dolgan walked over to him. ""No, boy, for I also wish nothing of the dragon's riches."" With a backward glance at the hall, he added, ""Though there will be nights to come when I will wonder at the wisdom of that. I may return someday, but I doubt it. Now let us find a way home."" They set off and soon were in tunnels Dolgan knew well, taking them to the surface. DoLcAN ...",,,Extracted from page 138
crydee_122,Magician,140,canon,architecture,"northern valley in the Grey Towers, heading toward the Green Heart. Something still drives them south."" ""The Tsurani?"" Dolgan nodded. ""My thought also. Come. We had best return to Caldara as quickly as we can."" They set off and soon were in tunnels Dolgan knew well, taking them to the surface and home. TheY WERE Both exhausted when they reached Caldara five days later. The snows in the mountains were heavy, and the going was slow. As they approached the village, they were sighted by guards, a...",Tower,"table, door, chair",Extracted from page 140
crydee_123,Magician,141,canon,architecture,"Towers."" The dwarf addressed as Orwin nodded. ""Indeed it is, but there is naught we can do until spring."" Dolgan put his feet up on the table, lighting a pipe. ""And that is true also. But we can be thankful the Tsurani can do naught until spring, as well."" Tomas put down a joint of beef he was holding. ""Has the blizzard struck?"" Dolgan looked at him. ""Aye, laddie, the passes are all solid with snow, for the first winter blizzard came upon us last night. There will be nothing that can move out...",Tower,table,Extracted from page 141
crydee_124,Magician,142,canon,architecture,"standards, little more than a seaport town, but far larger than Crydee. Everywhere he looked, people were hurrying about on unknown tasks, busy and preoccupied. Little attention was paid the travelers except for an occasional glance from a shopkeeper or a woman at market. Never had the boy seen so many people, horses, mules, and wagons all in one place. It was a confusion of colors and sounds, overwhelming his senses. Barking dogs ran behind the rangers' horses, nimbly avoiding kicks by the i...",,door,Extracted from page 142
crydee_125,Magician,143,canon,architecture,"They reached the house and entered an open gate in a low wall, where servants ran to take their horses. As they dismounted, their host came through the large entrance to the house. ""Welcome, Lord Borric, welcome,"" he said, a warm smile splitting his gaunt face. Talbott Kilrane looked like a vulture reincarnated into human form, with a balding head, sharp features, and small, dark eyes. His expensive robes did little to hide his gauntness, but there was an ease to his manner, and a concern in ...",,"bed, wall, gate",Extracted from page 143
crydee_126,Magician,144,canon,architecture,"you a razor so you can keep your chin bare like Prince Arutha? Or do you wish to cultivate a magnificent beard?"" He exaggeratedly brushed his own grey beard. Pug smiled for the first time since leaving Mac Mordain Cadal. ""I think I can leave off worrying about it for a time."" Kulgan laughed, glad to see the boy's spirits returning. The magician had been troubled at the depth of Pug's mourning for Tomas and was relieved to see the boy's resilient nature assert itself. Kulgan held the door open...",,"table, door, chair",Extracted from page 144
crydee_127,Magician,147,canon,architecture,"""Macros is very old,"" Kulgan continued. ""By what arts he keeps alive, only he knows, but he has lived there over three hundred years."" Gardan scoffed, ""Or several men by the same name have lived there."" Kulgan nodded. ""Perhaps. In any event, there is nothing truly known about him, except terrible tales told by sailors. I suspect that even if Macros does practice the darker side of magic, his reputation is greatly ' inflated, perhaps as a means of securing privacy."" A loud cracking noise, as i...",tower,window,Extracted from page 147
crydee_128,Magician,148,canon,architecture,"no business."" Pug looked up toward the castle, his glance noted by the magician. ""we'll keep clear of that castle and the road up from the beach, to be sure. The tales of this island only speak of ill coming to those who seek to enter the sorcerer's halls."" Arutha signaled a seaman. A boat was readied, and the four men and the boy got aboard. The boat was hauled over the side and lowered by a crew sweating despite the cold wind that still blew after the storm. By the glances they kept throwin...",,table,Extracted from page 148
crydee_129,Magician,149,canon,architecture,"castle could be seen to dip behind another crest. Kulgan said, ""It must lead somewhere. Shall we continue?"" Arutha nodded, and the others . said nothing. They continued their journey until they came to a small valley, little more than a dell, between two ranges of low hills. On the floor of the valley sat some buildings. Arutha said softly, ""What do you think, Kulgan? Are they inhabited?"" Kullgan studied them for a moment, then turned to Meecham, who stepped forward. The franklin inspected th...","tower, courtyard","gate, window, bed, wall, door",Extracted from page 149
crydee_130,Magician,150,canon,architecture,"came down the hill."" He turned to stare up at the castle, the highest spires of which could still be seen from the valley. ""There is where you build for trouble. This place,"" he said, indicating the low buildings with a sweep of his hand, ""was fashioned by those who knew little of strife."" Pug nodded as he moved away. Gardan and Meecham headed in a different direction, toward an abandoned stable. Pug moved around to the back of the house and found several smaller buildings. He clutched his kn...","courtyard, kitchen","table, wall, door, gate",Extracted from page 150
crydee_131,Magician,151,canon,architecture,"down before him. Out of the wall opposite obtruded a brass fish head, hanging over the pool. The nature of the room was beyond Pug. As if someone had read his thoughts, a voice from behind said, ""It is a tepidarium."" Pug turned and saw a man standing behind him. He was of average height, with a high forehead and deep-set black eyes. There were streaks of grey at the temples of his dark hair, but his beard was black as night. He wore a brown robe of simple material, a whipcord belt around the ...",,"table, wall, door",Extracted from page 151
crydee_132,Magician,152,canon,architecture,"Pug said, ""We are of Crydee,"" and gave the man a brief description of the journey. The man asked a few simple questions, and without being aware of it, Pug found that soon he had given a full accounting of the events that had brought them to the island, and the plans for the rest of the journey. When he had finished, the traveler said, ""That is a wondrous story indeed. I should think there will be many more wonders before this strange meeting of worlds is finished."" Pug questioned him with a ...",courtyard,,Extracted from page 152
crydee_133,Magician,153,canon,architecture,"arm. ""I abide here, Prince of Crydee. I should think that the question better serves me."" The Prince stiffened at being addressed so, but after a tense moment relaxed. ""If that is so, then you are correct, for we are the intruders. We came seeking relief from the solitary confines of the ship. Nothing more."" The traveler nodded. ""Then you are welcome at Villa Beata."" Kulgan said, ""What is Villa Beata?"" The traveler made a sweeping motion with his right hand. ""This home is Villa Beata. In the ...",,,Extracted from page 153
crydee_134,Magician,154,canon,architecture,"and overboasted, to keep intruders away. I doubt he is capable of the feats attributed to him."" Arutha said, ""Then perhaps we should visit this sorcerer."" The hermit looked at the Prince. ""I don't think you would find a welcome at the castle. The sorcerer is oftentimes preoccupied with his work and suffers interruption with poor grace. He may not be the mythical author of all the world's ills that some imagine him to be, but he could still cause more trouble than it is worth to visit him. On ...",,bed,Extracted from page 154
crydee_135,Magician,155,canon,architecture,"come that our meeting was not by chance. Until we meet again, keep the hermit's staff as a sign of friendship and goodwill. Seek me not until the appointed time, for that too is foreordained. Macros."" Kulgan handed the message back to Pug, who read it. ""Then the hermit was Macros!"" Meecham rubbed his beard. ""This is something beyond my understanding."" Kulgan looked up to the castle, where the lights still flashed in the single window. ""As it is beyond mine, old friend. But whatever it means, ...",,"bed, window",Extracted from page 155
crydee_136,Magician,156,canon,architecture,"and the others. Gardan and his soldiers had left that morning with a bundle of dispatches for Prince Lyam from his father, and Meecham was housed with the palace guard. Kulgan was invited in the meetings as often as not, so Pug had a lot of time to himself. He wished he had his books with him, for then at least the time could be put to some good use. Since his arrival in Krondor there had been little for him to do. More than once Pug had thought of how much Tomas would have loved the newness ...",,"wall, window, door",Extracted from page 156
crydee_137,Magician,157,canon,architecture,"guard. The child's prattling wasn't very irksome, and he wasn't following closely, being more intent on the scene through the window. He hesitated, then said, ""I'm apprenticed to the Duke's magician."" The Princess's eyes grew round, and she said, ""A real magician?"" ""Real enough."" Her little face lit up with delight. Can he turn people into toads? Mummy said magicians turn people into toads if they are bad."" ""I don't know. I'll ask him when I see him-if I see him again,"" he added under his bre...",,window,Extracted from page 157
crydee_138,Magician,158,canon,architecture,"The walls were covered with giant banners and rich tapestries. The banners were of every major household in the Kingdom, from the gold and brown of Crydee in the far west, to the white and green of far Ran, in the east. Behind the royal table hung the banner of the Kingdom, a golden lion rampant holding a sword, with a crown above his head,",,"table, wall",Extracted from page 158
crydee_139,Magician,159,canon,architecture,"the kitchen, Pug supposed, through which peeked the tiny fugitive from bed. Pug moved to where Anita waited, discovering it was, indeed, a long connecting corridor between the kitchen and the great hall. A lengthy table covered with dishware and goblets ran along the wall. Pug said, ""What are you doing here?"" ""Shush!"" she said in a loud whisper. ""I'm not supposed to be here."" Pug smiled at the child. ""I don't think you have to worry about being heard, there's too much noise for that."" ""I came...","great hall, kitchen","bed, table, wall, door",Extracted from page 159
crydee_140,Magician,160,unknown,architecture,"He won't lift a finger to send aid to Crydee until Father has seen the King. That will take another two months at least."" Kulgan raised his hand. Instead of an adviser to the Duke, Arutha saw one of his boyhood instructors. Kulgan, like Tully, could still command both sons of the Duke when the need arose. ""Quietly, Arutha."" Arutha shook his head as he pulled over a chair. ""I am sorry, Kulgan. I should have mastered my temper."" He noticed Pug's confusion. ""I apologize to you also, Pug. There i...",,chair,Extracted from page 160
crydee_141,Magician,161,canon,architecture,"Should he call, every Duke from Malac's Cross to Crydee would respond, with their garrisons and levies. King Rodric, for his own reasons, has decided that none may gather the armies without his authority. Arutha said, ""Father would come to the Prince's call, regardless, as would the other Dukes."" Kulgan nodded. ""That may be what the King fears, for the Armies of the West have long been more the Prince's armies than the King's. If your father called, most would gather, for they revere him near...",courtyard,"stair, window",Extracted from page 161
crydee_142,Magician,162,canon,architecture,"guard, rather than a detachment from the city garrison. As they left the city, the snow began to fall once more, and Pug wondered if he would ever see spring in Crydee again. He sat quietly on his horse as it plodded along the road east, trying to sort out the impressions of the last few weeks, then gave up, resigning himself to whatever was to happen. THE riDE to Salador took four weeks instead of three, for there had been a storm of unusual intensity in the mountains west of Darkmoor. They ...",,"bed, door",Extracted from page 162
crydee_143,Magician,163,canon,architecture,"order to move out, and the guard column moved past the Duke's party. As they passed the captain ordered a salute, and lances were dipped toward the Duke. Borric returned the salute with a lazy wave of his hand, then when the guards had passed, said, ""Enough of this foolishness, let us to Salador."" Arutha laughed and said, ""Father, we have need of men like that in the West."" Borric turned and said, ""Oh? How so?"" As the horses moved forward, Arutha said, ""To polish shields and boots."" The Duke ...",courtyard,"wall, door",Extracted from page 163
crydee_144,Magician,164,canon,architecture,"Borric had made his way up the broad stairway from the courtyard, the chamberlain had provided Kerus with a few personal facts and a quick evaluation of the right amount of flattery required. Duke Kerus took Borric's hand. ""Ah, Lord Borric, you do me great honor by this unexpected visit. If you had only sent word of your arrival, I would have prepared a more fitting welcome."" They entered the antechamber of the palace, the Dukes in front. Borric said, ""I am sorry to put you to any trouble Lor...",courtyard,"stair, table, window",Extracted from page 164
crydee_145,Magician,167,canon,architecture,"honorable man, and as such would keep unfounded rumors from his subjects, even yourself. As you have said, it is thirteen years since you last were at Rillanon. All warrants and missives from the King still pass through the Prince's court. How would you know? ""I fear it is only a matter of time before one or other of the King's advisers positions himself over the fallen heads of those of us who hold to our beliefs that the nobility are wardens of the nation's welfare."" Borric said, ""Then you ...",,,Extracted from page 167
crydee_146,Magician,169,canon,architecture,"and knew that his dreams of the King answering the call of Crydee with banners flying were another boyish fancy shattered upon the hard rock of reality. 13 RILLANON ThE SHIP SAILED into THE harbor. The climate of the Kingdom Sea was more clement than that of the Bitter Sea, and the journey from Salador had proven uneventful. They'd had to beat a tack much of the way against a steady northeast wind, so three weeks had passed instead of two. Pug stood on the foredeck of the ship, his cloak pull...",tower,,Extracted from page 169
crydee_147,Magician,170,canon,architecture,"much as towers and spires. Many of the buildings seemed new, and Pug thought that this must be part of the King's plan for rebuilding the city. At several points along the way he saw workers removing old stones from a building, or erecting new walls and roofs. The newer buildings were faced with colorful stonework, many of marble and quartz, giving them a soft white, blue, or pink color. The cobblestones in the streets were clean, and gutters ran free of the clogs and debris Pug had seen in t...","tower, courtyard",wall,Extracted from page 170
crydee_148,Magician,171,canon,architecture,"He had never been one for baths when he had been a keep boy, preferring to wash away dirt in the sea and the streams near the castle. Now he could learn to enjoy them. He mused about what Tomas would have thought of that. He drifted off in a warm haze of memories, one very pleasant, of a dark-haired, lovely princess, and one sad, of a sandy-haired boy. THE DINNER of the night before had been an informal occasion, with Duke Caldric hosting Lord Borric's party. Now they stood in the royal thron...",,"wall, window",Extracted from page 171
crydee_149,Magician,172,unknown,architecture,"of Crydee, and we would hear it spoken by the author of the brave deed. We must meet later so that you may tell us of this marvel."" Pug bowed awkwardly, feeling a thousand eyes upon him. There had been times before when he had wished the troll story had not been spread, but never so much as now. He backed away, and the King said, ""Tonight we will hold a ball to honor the arrival of our cousin Borric."" He stood, arranging his purple robes around him, and pulled his golden chain of office over ...",,"table, door, chair",Extracted from page 172
crydee_150,Magician,173,canon,architecture,"past the hedges and stone walls that marked its edge, Pug could see the city of Rillanon and the sea beyond. The colorful rooftops shone brightly in the midday sun, as the last snows had melted completely over the last four days. Ships sailed in and out of the harbor, and the streets teemed with citizens. The faint cries of merchants and hawkers, shouting over the noise of the streets, floated up to become a soft buzzing where the King took his midday meal. As Pug approached the table, a serv...",,"table, wall, chair",Extracted from page 173
crydee_151,Magician,175,implied,architecture,"West to find a good place to bring their soldiers in during the winter so they can launch their offensive this spring."" The King slapped the table with his hand. ""A good exercise in logic, Pug."" Motioning for the servants to bring food, he said, ""Now, let us eat."" Food of an amazing variety and amount for just the two of them was produced, and Pug picked small amounts of many things, so as not to appear indifferent to the King's generosity. Rodric asked him a few questions as they dined, and ...",,table,Extracted from page 175
crydee_152,Magician,176,canon,architecture,"the table. The five men of Crydee sat eating in the Duke's quarters, with palace servants, all wearing the King's purple-and-gold badge on their dark tunics, hovering nearby. The Duke was chafing to leave Rillanon for the West. Nearly four months had passed since they left Crydee: the entire winter. Spring was upon them, and if the Tsurani were going to attack, as they all believed, it was only a matter of days now. Arutha's restlessness matched his father's. Even Kulgan showed signs that the...",tower,table,Extracted from page 176
crydee_153,Magician,177,canon,architecture,"fluid dripped down the wall as the Duke of Crydee nearly roared with anger. ""What game does Guy play at? What is this talk of rumors and undue distress!"" Caldric raised a hand and Borric calmed a little, sitting again. The old Duke said, ""I myself penned the King's call to Guy. Everything you had told, every piece of information and every surmise, was included. I can only think Guy is ensuring that the King reaches no decision until he arrives at the palace."" Borric drummed his fingers on the...",,"table, wall",Extracted from page 177
crydee_154,Magician,179,unknown,architecture,"the Duke of Crydee threw back his head and laughed. Slamming his fist on the table, he nearly shouted, ""Kulgan! If you had not served me well in all the years I have known you, tonight you have."" He turned to Caldric. ""What do you think?"" Caldric smiled for the first time since entering the room. ""Brucal? That old war dog? There is no more honest man in the Kingdom. And he is not in the line of succession. He would be beyond even Guy's attempts to discredit. Should he receive the command of t...",,"table, door, chair",Extracted from page 179
crydee_155,Magician,180,implied,architecture,"Mountain. They have attacked Crydee."" Without thinking, Borric said, ""What news from Crydee?"" The King stopped his pacing. He looked at Borric, and for a moment Pug saw madness in his eyes. He closed them briefly, then opened them, and Pug could see the King was himself again. He shook his head slightly and raised his hand to his temple. ""I have only secondhand news from Brucal. When those messages left six weeks ago, there had only been one attack at Crydee. Your son Lyam reports the victory...",,,Extracted from page 180
crydee_156,Magician,181,unknown,architecture,"The King said, ""Borric, you must leave Crydee to your son. He is capable enough, I should think. He's given us our only victory so far."" His eyes wandered and he giggled. He shook his head for a moment, and his voice lost its frantic edge. ""Oh, gods, these pains. I think my head will burst."" He closed his eyes briefly. ""Borric, leave Crydee to Lyam and Arutha; I'm giving you the banner of the Armies of the West; go to Yabon. Brucal is sorely pressed, for most of the alien army strikes toward ...",,table,Extracted from page 181
crydee_157,Magician,182,canon,architecture,"swept down a line along the eastern face of the Grey Towers. ""There is a coordinated pattern here, but I'm damned if I can anticipate where it's going next."" The old Duke looked weary. The fighting had been going on sporadically for over two months now, and no distinct advantage could be seen on either side. Borric studied the map. Red spots marked known Tsurani strongholds: hand-dug, earthen breastworks, with a minimum of two hundred men defending. There were also suspected reinforcement com...",Tower,,Extracted from page 182
crydee_158,Magician,183,canon,architecture,"itself. There is no word of activity from the Grey Towers, Carse, or Tulan. They seem content to dig in along this pass. Your forces to the west will not be able to join you, for they could not break through now."" ""How strong do the aliens appear to be?"" asked Brucal. ""It is not known, but I saw several thousand along this route."" His finger indicated a route along the northern edge of the pass, from the elven forests to the Kingdom camp. ""The dwarves of Stone Mountain are left alone, so long...",Tower,,Extracted from page 183
crydee_159,Magician,184,canon,architecture,"attempting to keep it from the greedy maw of Fantus. The firedrake had sought out his master a week before, eliciting startled cries from the soldiers as he swooped over the tents. Only Meecham's commanding shouts had kept a bowman from putting a cloth-yard arrow into the playful drake. Kulgan had been pleased to see his pet, but at a loss to explain how the creature had found them. The drake had moved right into the magician's tent, content to sleep next to Pug and steal food from under Meec...",,,Extracted from page 184
crydee_160,Magician,185,canon,architecture,"keeping one eye on Fantus. ""They don't have any metal and they want ours."" When Kulgan and Pug regarded him with blank expressions, he shook his head. ""I'd thought you puzzled it out by now, so I didn't think to bring it up."" He put aside the bowls of stew, reached behind himself, and drew a bright red arrow out from under his bedding. ""Souvenir,"" he said, holding it out for inspection. ""Look at the head. It's the same stuff their swords are made from, some kind of wood, hardened like steel. ...",,bed,Extracted from page 185
crydee_161,Magician,186,canon,architecture,"felt truly a soldier. The only discordant note was his helm, which was a little too large and gave him a slightly comic appearance. Captain Vandros came back to where Kulgan stood waiting, and dismounted. ""The scouts have spotted a camp about half a mile ahead. They think they were not seen by the guards."" The captain pulled out a map. ""We are about here. I will lead my men and attack the enemy position. Cavalry from Zun will support us on either side. Lieutenant Garth will command the column...",Tower,,Extracted from page 186
crydee_162,Magician,187,canon,architecture,"Pug had supposed that Meecham was from Crydee, and was surprised to find he had been a youth in the Free Cities. But then he found it difficult to imagine Meecham as a boy. The franklin continued. ""There is a way over the crest of the mountains, a path that leads between two smaller peaks. It is little more than a goat trail, but if we led the horses all night, we could be in the valley by sunrise. This way is difficult to find on this side if you don't know where to seek it. From the valley ...",,bed,Extracted from page 187
crydee_163,Magician,188,canon,architecture,"and they stopped to rest. Two soldiers were sent ahead with Meecham to scout the way, while the rest of the tired line dropped to the ground to ease cramped legs. Pug realized the fatigue was as much the result of the tension created by the silent passage as of the climbing, but it didn't make his legs feel any better. After what seemed to be much too short a rest they were moving again. Pug stumbled along, fatigue numbing his mind to the point where the world became an endless series of pick...",,,Extracted from page 188
crydee_164,Magician,189,implied,architecture,"soldiers stood a fair chance of outrunning them. After a while the lieutenant passed the word, and the column turned north. They trotted along, saving the horses for when they would be sure to need the speed. Pug thought he saw glimpses of color in the trees ahead, as they descended into the southern woods of the valley, but couldn't be sure. As they reached the woods, a shout went up from within the trees. The lieutenant cried, ""All right, they've seen us. Ride hard and stay close."" He spurr...",,,Extracted from page 189
crydee_165,Magician,190,canon,architecture,"once you're in the woods to the north, keep moving. Our forces should have broken through up there, and if we can get past those woods, we should be all right."" Meecham had described the woods as being about two or three miles across. From there it was three miles of open ground until the North Pass through the hills began. They slowed to a walk, trying to rest the horses as much as possible. They could see the tiny figures of the Tsurani coming from behind, but they would never catch up befo...",,"table, bed",Extracted from page 190
crydee_166,Magician,191,canon,architecture,"six-legged beasts, who were prodded by two soldiers in red armor. Several more wagons were standing beyond the machines, and a few of the strange beasts could be seen grazing beyond the wagons. Beyond the strange device, a mighty camp sprawled across the meadow, with more tents than Pug could count. Banners of strange design and gaudy colors fluttered in the wind above them, and the rising smoke of the campfires stung his nose with acrid pungency as it was carried off in the breeze. More ride...",,bed,Extracted from page 191
crydee_167,Magician,192,canon,architecture,"through him, and he had to fight to keep his feet. He staggered about and through the agony saw a familiar figure riding toward him, shouting his name. Pug shook his head, and suddenly the pain vanished. Meecham sped toward him, and Pug knew the franklin could carry the Tsurani to the Duke's camp if Pug could keep him from fleeing. So he spun, all pain forgotten, and closed upon the still-supine Tsurani. A look of shock crossed the magician's face when he saw the boy again advancing on him. P...",,,Extracted from page 192
crydee_168,Magician,193,canon,architecture,"soldier lying a few feet away. He was also bound. His face was drawn, and there was a nasty-looking cut running down from his hairline to his cheekbone, all crusted over with dried blood. Pug's attention was distracted by the sound of voices speaking low, behind him. He rolled over and saw two Tsurani guards in blue armor standing watch. Several more tied prisoners lay about between the boy and the two aliens, who were speaking together in their strange, musical -sounding language. One notice...",,wall,Extracted from page 193
